category,algorithm,accuracy,precision,recall,f1_score,cv_mean,cv_std,train_time_s,predict_time_s
DIASTOLIC_FUNCTION,Decision Tree,1.0,1.0,1.0,1.0,0.9586452762923351,0.01426693248040196,0.0008311271667480469,6.389617919921875e-05
LA_SIZE,Decision Tree,0.975,0.9761904761904763,0.975,0.9749843652282676,0.9741935483870968,0.024139725075960926,0.0011098384857177734,6.103515625e-05
LV_HYPERTROPHY,Decision Tree,0.9736842105263158,0.9763157894736842,0.9736842105263158,0.9729147429978454,0.9802150537634409,0.016159111736919734,0.0009560585021972656,5.984306335449219e-05
DIASTOLIC_FUNCTION,Gradient Boosting,1.0,1.0,1.0,1.0,0.9823529411764707,0.01440876319284223,0.05212688446044922,0.0001881122589111328
LA_SIZE,Gradient Boosting,1.0,1.0,1.0,1.0,0.9870967741935484,0.0158031596308592,0.03755998611450195,0.00016689300537109375
LV_HYPERTROPHY,Gradient Boosting,0.9736842105263158,0.9763157894736842,0.9736842105263158,0.9729147429978454,0.9802150537634409,0.016159111736919734,0.28316593170166016,0.0006439685821533203
DIASTOLIC_FUNCTION,K-Nearest Neighbors,0.8372093023255814,0.8370542635658914,0.8372093023255814,0.8366705576007901,0.8759358288770054,0.028175272454159343,0.0006449222564697266,0.014908075332641602
LA_SIZE,K-Nearest Neighbors,0.85,0.8846153846153847,0.85,0.846547314578005,0.8663306451612904,0.055168305062370124,0.000614166259765625,0.014033317565917969
LV_HYPERTROPHY,K-Nearest Neighbors,0.9473684210526315,0.9510526315789474,0.9473684210526315,0.941750522923851,0.9341935483870969,0.05476655594762376,0.005180835723876953,0.01524209976196289
DIASTOLIC_FUNCTION,Logistic Regression,0.5116279069767442,0.4901850462615654,0.5116279069767442,0.48756734638205007,0.5739750445632799,0.05423993754562128,0.013143062591552734,0.00011110305786132812
LA_SIZE,Logistic Regression,0.925,0.9260651629072681,0.925,0.924953095684803,0.897983870967742,0.03751517209552581,0.012549877166748047,8.702278137207031e-05
LV_HYPERTROPHY,Logistic Regression,0.9736842105263158,0.9763157894736842,0.9736842105263158,0.9729147429978454,0.907741935483871,0.03835199141756714,1.4877686500549316,0.0009970664978027344
DIASTOLIC_FUNCTION,Random Forest,0.8837209302325582,0.8839276485788115,0.8837209302325582,0.8833361125719931,0.9292335115864528,0.023218110302789897,0.0626370906829834,0.013698101043701172
LA_SIZE,Random Forest,0.975,0.9761904761904763,0.975,0.9749843652282676,0.9810483870967742,0.015478304611023572,0.0640420913696289,0.013786792755126953
LV_HYPERTROPHY,Random Forest,0.9473684210526315,0.9569377990430621,0.9473684210526315,0.9434210526315789,0.9670967741935484,0.0365186366402191,0.09403085708618164,0.012046098709106445
DIASTOLIC_FUNCTION,SVM (RBF),0.6976744186046512,0.709489872468117,0.6976744186046512,0.6827797858555548,0.7989304812834225,0.05662897089215867,0.0009999275207519531,0.000308990478515625
LA_SIZE,SVM (RBF),0.875,0.8836317135549873,0.875,0.8742928975487114,0.9040322580645161,0.02975686246370176,0.0009081363677978516,0.00022602081298828125
LV_HYPERTROPHY,SVM (RBF),0.9736842105263158,0.9763157894736842,0.9736842105263158,0.9729147429978454,0.913978494623656,0.03458957783306849,0.0013811588287353516,0.0002892017364501953
